ID,Sex,Age,Ra1,RaLast,TrainingDifficulty,S1,M1,A1,N1,R1,TAD
101,M,20,0.166404818,0.733930451,,50,25,217,9,33,47
102,M,20,0.830469277,0.821726113,,72,27,368,18,46,62
103,M,20,0.396975301,0.831045788,,69,31,488,19,45,53
104,M,23,0.872619808,0.825967477,,72,35,267,25,38,60
105,M,21,0.749745527,0.83832773,,59,30,549,20,45,50
106,M,20,0.782089069,0.95186556,,55,23,280,20,46,65
107,M,23,0.615758994,0.840865094,,68,28,577,26,45,61
108,M,19,0.952869851,0.960801516,,54,33,297,14,41,57
109,M,21,0.786506137,0.816971066,,46,28,182,22,35,55
110,M,21,-0.290378438,0.841258761,,36,23,300,18,36,44
111,F,19,-0.007464839,0.680164461,,55,26,322,9,30,26
112,M,19,0.796812585,0.93534429,,47,30,326,16,38,60
113,M,19,0.382885039,0.881197642,,67,30,255,19,48,57
114,M,20,0.711201179,0.930077934,,62,27,573,14,48,69
115,M,20,-0.009900239,0.927491914,,57,24,251,14,31,44
116,M,20,-0.234695256,-0.128369075,,52,24,206,22,44,41
117,M,20,0.027792422,-0.1623523,,29,18,150,10,33,60
118,M,21,0.667492986,0.797646786,,58,29,561,24,48,57
119,M,20,0.232140766,0.678232055,,57,30,310,11,39,65
120,M,20,-0.32916763,0.818849683,,52,23,357,17,44,60
121,M,19,-0.210041583,0.719745841,,69,30,328,25,38,39
122,M,19,-0.153687079,0.730458624,,61,30,239,15,39,34
123,M,22,0.094988122,0.47537939,,57,28,440,29,44,65
124,M,19,0.742855858,0.973832314,,51,28,297,18,47,62
125,M,20,0.776743517,0.822848539,,50,33,333,17,47,64
126,M,20,0.104371536,0.705364796,0,57,32,571,18,47,70
127,M,19,-0.002965396,0.676162323,,44,31,191,9,27,48
128,M,19,0.15995651,-0.188076076,,51,24,346,17,43,43
129,M,21,0.089427425,0.356297819,,41,27,267,16,31,47
130,M,20,0.795518288,0.884271334,,55,23,290,14,44,53
131,M,21,0.419168061,0.753949398,,46,19,319,8,34,43
132,M,20,0.803019846,0.817933817,,43,24,213,14,36,53
133,M,20,-0.412049487,0.616026969,,35,23,196,13,34,29
134,F,20,0.418979175,0.871413051,,47,19,263,15,36,43
135,F,20,0.452356675,0.89232407,,62,25,250,11,40,53
136,F,20,-0.375078427,-0.483481356,,48,21,282,18,41,23
137,F,20,0.516129632,0.714848049,,34,28,243,10,29,32
138,M,19,0.642962418,0.798954089,,51,27,207,18,38,64
139,M,19,0.833026762,0.837067908,0,56,28,478,27,48,74
140,M,20,-0.170885907,-0.313044095,,51,22,512,15,44,58
141,M,20,0.623357047,0.610237473,,68,26,581,29,48,74
142,M,20,0.782880615,0.865870914,0,41,30,511,16,44,57
143,M,23,0.918193731,0.941561664,1,60,31,443,15,41,55
144,M,22,0.591753238,0.959793316,,46,24,482,20,37,47
145,M,22,0.797192099,0.886573377,,34,25,168,14,31,51
146,M,19,0.585368808,0.963264791,,59,26,328,18,26,67
147,M,20,0.919281281,0.956372411,0,74,29,564,28,46,69
148,M,23,0.82275559,0.911388214,,75,33,357,23,47,67
149,M,19,0.325616994,0.886119375,,59,28,272,20,37,44
150,M,20,-0.353560643,0.554437836,,42,22,192,11,36,55
151,M,20,0.378316261,0.844378185,,50,21,293,10,35,65
152,M,21,0.373369896,0.960588791,,62,29,557,15,46,48
153,F,20,0.954635871,0.980030888,,57,19,485,24,45,60
