ID,Sex,Age,Ra1,RaLast,TrainingDifficulty,S1,M1,A1,N1,R1,TAD
441,M,21,0.741976509,0.661674175,,71,35,358,15,40,65
442,M,21,0.68503169,0.858560447,,49,26,311,8,47,59
443,M,20,-0.347196798,-0.01856678,,67,33,225,17,36,55
444,F,21,0.770835249,0.948758346,,60,21,443,17,43,49
445,M,18,0.541849416,0.919050226,,71,23,427,21,46,56
446,M,20,0.704517866,0.861240345,,43,25,232,10,32,47
447,M,20,0.819391287,0.742656416,,59,26,390,14,48,55
448,M,21,-0.007962905,0.956901975,,56,26,268,22,38,31
449,F,20,-0.472821307,-0.173651243,,70,22,390,11,43,33
450,M,22,0.8739524,0.751114084,,41,24,337,19,40,63
451,M,21,0.21690876,0.728844689,0,55,30,321,15,42,58
452,M,18,0.112525297,0.820156649,,53,26,297,13,35,41
453,M,23,-0.153200089,0.783308365,,36,23,238,15,34,41
454,F,18,0.798333217,0.770503726,,56,23,309,15,42,40
455,M,20,0.47714489,0.666041653,,37,31,213,9,33,50
456,M,23,-0.32993964,0.81140525,,44,20,381,14,39,61
457,M,19,0.883666584,0.959044669,,38,25,200,9,43,47
458,M,20,0.097062714,0.615579181,,57,28,248,11,37,48
459,M,20,0.248099931,0.686010144,,53,31,552,16,36,50
460,M,22,0.798790194,0.782902751,,47,27,289,16,47,56
461,M,20,0.881947507,0.778760282,,55,27,286,19,38,56
462,M,21,0.392104176,0.723218202,,62,27,233,8,10,46
463,M,22,0.805507969,0.78072148,,58,31,275,17,44,65
464,M,19,-0.195105293,0.965749348,,56,29,261,17,45,61
465,M,18,-0.07811532,-0.144158823,,38,25,146,10,34,44
466,M,23,0.630614652,0.822914396,1,73,31,572,20,47,57
467,M,19,0.387150406,0.734895664,,52,28,308,11,37,52
468,M,22,0.939572836,0.958094903,,41,19,219,14,46,65
469,M,20,0.251101411,0.938691657,,46,23,329,11,42,51
470,M,19,0.39556406,0.669511356,,44,21,270,9,27,49
471,F,21,0.006629654,0.947304428,,45,23,205,10,34,34
472,M,21,0.900654771,0.945306417,,44,30,351,11,34,41
473,M,21,-0.408533732,0.738827321,,72,32,402,9,39,45
474,M,21,-0.378179541,0.506919442,,42,19,236,4,33,40
475,M,19,0.825648957,0.866032883,,68,30,317,17,39,53
476,F,24,0.713669038,0.95050456,,57,26,461,30,47,63
477,M,28,0.530871526,0.766669722,,63,25,541,21,46,55
478,M,22,-0.128502915,0.324552892,,42,20,299,13,39,58
479,M,27,0.452359656,0.889082305,,45,27,561,23,37,40
480,M,21,0.408226429,0.944287176,,37,25,518,27,40,60
481,M,26,0.951175693,0.950738752,,52,22,505,24,41,53
482,M,25,0.077255393,0.605169176,,44,29,383,21,43,51
483,M,27,0.745320955,0.927821348,,64,29,312,21,31,54
484,M,23,0.478261167,0.567770837,,43,26,445,22,46,56
485,M,28,0.890163441,0.958515833,,58,25,569,30,47,64
486,F,23,0.915812334,0.971310444,,64,29,257,22,45,25
487,M,27,0.805424437,0.736700647,,71,34,530,28,48,75
488,M,23,0.122576983,0.068933089,,50,31,234,23,42,48
489,M,26,0.116919076,0.843295432,,44,23,510,13,36,36
490,M,25,-0.369264799,-0.28092549,,70,28,563,29,48,72
491,M,25,-0.169718241,0.418926571,,53,32,413,28,48,58
492,M,27,0.664994058,0.514031634,,49,29,533,26,45,68
493,M,25,0.592699933,0.965409264,,72,34,453,29,44,52
494,M,24,0.726456497,0.856312355,,56,20,363,15,40,41
495,M,25,-0.102272125,0.948594926,,63,31,366,29,48,70
496,M,28,0.8452111,0.854361495,,33,14,573,18,42,60
497,M,30,-0.126993857,0.337255859,,53,25,534,28,48,73
498,M,22,0.446882127,0.797885436,,51,21,579,20,42,72
499,M,28,0.756642672,0.884150156,,44,31,485,29,47,69
500,M,25,0.83657043,0.953198455,,47,26,285,24,44,39
501,M,29,0.924748838,0.972802187,,63,27,239,21,44,45
502,M,20,0.523432269,0.739053267,,47,27,543,26,48,65
503,M,27,0.63455126,0.72619325,,66,30,340,21,41,60
504,M,27,0.767826887,0.886034932,,69,32,518,10,48,71
505,F,24,0.42980914,0.348477182,,55,22,348,7,30,46
506,M,25,-0.278546542,0.695574233,,61,27,341,15,43,56
507,M,24,-0.069154183,0.885654661,,58,32,581,27,46,61
508,M,25,-0.30133793,0.197282536,,59,27,531,16,44,57
509,M,30,0.517608046,0.754363521,,61,33,231,20,36,47
510,M,26,0.818350672,0.828220865,,47,31,486,30,48,68
511,M,28,0.586672103,0.193627572,,60,24,131,23,40,51
512,F,27,0.861624185,0.877169408,,75,35,491,12,45,46
513,M,27,0.740238707,0.884655106,,59,28,358,18,39,58
514,M,28,0.517254472,0.39799647,,34,32,274,16,33,51
515,M,25,-0.302983013,0.686530805,,38,26,219,12,23,57
516,M,27,0.568090155,0.588085444,,35,25,581,26,42,59
517,M,24,0.3858156,0.657575229,,54,21,567,22,44,63
518,M,27,0.454095182,0.935386484,,61,32,518,28,46,64
519,M,23,0.688108501,0.852126264,,38,30,380,27,41,53
520,M,22,0.94060794,0.974912659,,45,14,320,12,46,51
521,M,21,0.860613909,0.963395017,,52,27,493,12,42,61
522,M,30,-0.534421653,-0.491417755,,40,25,277,15,40,49
523,F,25,0.878739233,0.803614959,,39,23,266,22,40,42
524,M,25,-0.315425046,0.843162241,,59,26,543,26,48,50
525,M,28,-0.101194402,0.966147642,,69,33,309,18,47,64
526,M,26,0.05512465,0.861131351,,67,35,565,22,46,72
527,M,26,0.53660718,0.873495415,,51,29,295,20,43,50
528,F,30,0.844384373,0.96528244,,56,31,327,18,46,37
529,M,24,0.17219327,0.251758438,,58,30,290,21,40,53
530,M,28,0.009732119,0.646428743,,61,28,307,18,46,48
531,M,26,0.601164502,0.430396151,,49,33,186,23,42,54
532,M,31,0.356256797,0.586940703,,50,27,267,20,44,59
533,M,23,0.566995892,0.961713025,,48,32,312,18,43,71
534,M,26,0.886524712,0.934893719,,58,22,415,24,42,66
535,M,29,0.078748103,0.921191832,,63,33,322,21,47,66
536,M,28,0.716864504,0.854677825,,48,27,325,24,42,72
537,M,22,0.046620036,0.425654825,,57,35,490,8,46,67
538,M,29,0.243441265,0.819180548,,60,32,297,16,34,55
539,M,30,-0.364844182,0.861123727,,30,21,-201,8,28,40
540,M,23,0.171186913,0.480780633,,47,26,329,20,45,56
541,M,28,0.203865769,-0.191806213,,37,25,216,17,36,59
542,M,25,0.623869172,0.578641249,,44,24,217,5,30,41
543,M,30,-0.094516347,-0.177887369,,39,18,122,10,25,42
544,M,25,0.79207053,0.893590178,,44,27,434,24,46,71
545,M,29,0.874572652,0.896835937,,73,29,469,26,48,66
546,F,23,0.426195663,0.820275222,,69,28,480,22,44,54
547,M,28,0.013832076,0.927346951,,67,32,439,22,48,63
548,M,30,0.096045665,0.970127516,,41,31,504,29,44,60
549,M,25,0.819962115,0.97463083,,69,30,493,28,46,46
550,M,26,0.160633601,0.816646354,,46,32,272,6,36,65
551,M,26,-0.719465965,0.071176373,,50,24,213,10,31,52
552,M,26,-0.004504232,0.171705111,,57,23,508,15,40,64
553,M,28,-0.267674528,0.919064553,,62,29,295,18,39,55
554,M,26,-0.099412477,0.874445184,,64,30,355,26,46,66
555,M,23,0.887201407,0.864680404,,31,31,217,23,35,47
556,F,27,-0.278479934,-0.166594805,,10,10,165,8,9,31
