condition,inclugod,AmbigIntol_1,AmbigIntol_2,AmbigIntol_3,AmbigIntol_4,AmbigIntol_5,AmbigIntol_6,AmbigIntol_7,AmbigIntol_8,AmbigIntol_9,Pekala1r,Pekala2,Pekala3,Pekala4r,Q332,Q333,Q334,Q335,soco1W,soco2W,soco3W,pein1W,soco4W,pein2W,soco1A,soco2A,soco3A,pein1A,soco4A,pein2A,Shenav_1,Shenav_2,MCWrtInspW_1,MCWrtInspW_2,MCWrtToDoW_1,MCWrtToDoW_2,MCWrtBySoW_1,MCWrtBySoW_2,MCWrtPanaW_1,MCWrtPanaW_2,MCWrtPanaW_3,MCWrtPanaW_4,MCWrtPanaW_5,MCWrtPanaW_6,MCWrtPanaW_7,MCWrtPanaW_8,MCWrtInspA_1,MCWrtInspA_2,MCWrtToDoA_1,MCWrtToDoA_2,MCWrtBySoA_1,MCWrtBySoA_2,MCWrtPanaA_1,MCWrtPanaA_2,MCWrtPanaA_3,MCWrtPanaA_4,MCWrtPanaA_5,MCWrtPanaA_6,MCWrtPanaA_7,MCWrtPanaA_8,AC123,compamin,comppeka,compsoco,comppein,compshen,compmcwrtinp,compmcwrtto,compmcwrtby,compmcwrtpo,compmcwrtawe,cond1,cond2,cond3,passmc,filter_$
1,1,3,2,3,5,2,5,4,4,3,1,4,7,2, , , , ,5,5,5,4,7,4, , , , , , ,10,6,7,7,5,5,7,7,7,7,7,1,2,1,7,1, , , , , , , , , , , , , , ,1,3.44444444444444,6,5.5,4,8,7,5,7,6.85714285714286,7,1,0,0,1,1
1,0,4,4,3,2,5,3,3,2,4,1,6,5,2, , , , ,3,3,5,6,4,5, , , , , , ,8,9,5,4,3,4,3,4,5,5,6,1,2,1,6,1, , , , , , , , , , , , , , ,1,3.33333333333333,6,3.75,5.5,8.5,4.5,3.5,3.5,6.14285714285714,6,1,0,0,1,1
1,0,2,4,3,3,4,2,3,5,6,1,7,6,1, , , , ,5,6,6,4,5,6, , , , , , ,10,7,6,6,5,5,5,5,5,7,7,4,2,1,7,1, , , , , , , , , , , , , , ,1,3.55555555555556,6.75,5.5,5,8.5,6,5,5,6.14285714285714,7,1,0,0,1,1
1,0,4,6,3,4,4,2,3,2,4,3,5,7,6, , , , ,6,6,4,3,4,6, , , , , , ,10,7,7,3,5,7,7,4,6,7,6,1,1,1,7,1, , , , , , , , , , , , , , ,1,3.55555555555556,4.75,5,4.5,8.5,5,6,5.5,6.85714285714286,6,1,0,0,1,1
1,0,6,5,6,2,5,6,6,5,4,3,5,7,2, , , , ,6,5,6,4,7,5, , , , , , ,10,7,6,6,5,6,6,5,5,5,6,1,2,1,3,1, , , , , , , , , , , , , , ,1,5,5.75,6,4.5,8.5,6,5.5,5.5,5.71428571428571,6,1,0,0,1,1
1,0,2,2,3,2,5,2,5,5,6,5,4,6,5, , , , ,5,7,3,7,4,7, , , , , , ,10,7,7,6,7,6,7,7,7,7,1,1,1,1,6,1, , , , , , , , , , , , , , ,1,3.55555555555556,4,4.75,7,8.5,6.5,6.5,7,6.85714285714286,1,1,0,0,1,1
1,0,6,3,6,6,6,6,6,5,6,4,7,7,1, , , , ,1,3,4,1,7,3, , , , , , ,10,7,7,7,7,7,7,7,7,7,7,1,1,1,7,1, , , , , , , , , , , , , , ,1,5.55555555555556,6.25,3.75,2,8.5,7,7,7,7,7,1,0,0,1,1
1,0,5,5,3,6,5,4,2,4,6,4,5,7,5, , , , ,6,5,5,6,5,7, , , , , , ,8,9,4,4,6,7,5,4,3,1,5,2,5,2,6,1, , , , , , , , , , , , , , ,1,4.44444444444444,4.75,5.25,6.5,8.5,4,6.5,4.5,4.57142857142857,5,1,0,0,1,1
1,0,4,5,4,5,5,4,4,4,5,6,6,6,5, , , , ,5,5,5,6,6,6, , , , , , ,9,8,5,6,6,6,5,6,6,5,5,6,6,6,5,5, , , , , , , , , , , , , , ,2,4.44444444444444,4.25,5.25,6,8.5,5.5,6,5.5,3.57142857142857,5,1,0,0,0,0
1,0,5,4,4,5,4,5,5,5,2,6,4,6,4, , , , ,6,4,5,7,5,7, , , , , , ,9,8,6,6,6,6,6,6,4,3,4,6,4,6,6,5, , , , , , , , , , , , , , ,1,4.33333333333333,4,5,7,8.5,6,6,6,3.42857142857143,4,1,0,0,1,1
