source,precompshenav,condinsp,godcontent,DBIG_1,DBIG_2,DBIG_3,DBIG_4,DBIG_5,DBIG_6,DBIG_7,REI_3,REI_4,REI_5,REI_6,REI_7,REI_8,REI_9,REI_10,REI_11,REI_12,REI_13,REI_14,REI_15,REI_16,REI_17,REI_18,REI_19,REI_20,REI_21,REI_22,REI_23,REI_24,REI_25,REI_26,REI_27,REI_28,REI_29,REI_30,REI_31,REI_32,REI_34,contrast,contrast2,compbigd,comprati,compintu,Zprecompshenav,Zcomprati,Zcompintu,int1,int2,int3,int4,int5,int6,hirati,lorati,hiint4,loint4
2,8,1,0,4,4,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,4,2,2,4,2,2,4,4,4,4,4,4,3,4,4,5,4,4,3,2,2,0,3.42857142857143,4.94736842105263,4,.847012943710864,.0336494121610314,.86984170814468,1.69402588742173,0,1.73968341628936,.0672988243220627,0,0,-.966350587838969,1.03364941216103,-1.93270117567794,2.06729882432206
2,1,1,0,3,4,5,5,5,4,3,4,2,3,2,2,2,2,4,2,5,2,4,1,4,2,5,4,4,4,3,3,2,5,3,4,2,4,3,4,2,2,2,0,4.14285714285714,4.84210526315789,3.41666666666667,-1.56897476384237,-.142362897604366,-.153332887597171,-3.13794952768473,0,-.306665775194341,-.284725795208732,0,0,-1.14236289760437,.857637102395634,-2.28472579520873,1.71527420479127
2,7.5,3,0,5,1,1,1,1,1,1,1,5,5,5,3,4,5,4,3,5,3,1,5,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,-1,-1,1.57142857142857,3.63157894736842,4.66666666666667,.674442393171348,-2.16650445990643,2.03918410327822,-.674442393171348,-.674442393171348,-2.03918410327822,2.16650445990643,-2.03918410327822,2.16650445990643,-3.16650445990643,-1.16650445990643,3.16650445990643,1.16650445990643
2,10,3,0,5,5,5,4,1,1,1,3,3,2,3,3,4,4,4,4,4,2,2,3,1,4,4,3,4,4,5,4,3,2,3,3,4,4,4,4,2,5,-1,-1,3.14285714285714,4.52631578947368,3.66666666666667,1.53729514586893,-.670399826900556,.285170510577908,-1.53729514586893,-1.53729514586893,-.285170510577908,.670399826900556,-.285170510577908,.670399826900556,-1.67039982690056,.329600173099444,1.67039982690056,-.329600173099444
2,10,3,1,5,5,5,5,5,5,5,4,2,2,4,3,2,3,3,3,5,4,5,4,4,4,2,5,5,5,5,5,5,5,4,5,5,4,5,4,2,4,-1,-1,5,4.57894736842105,4.75,1.53729514586893,-.582393672017858,2.18535190266992,-1.53729514586893,-1.53729514586893,-2.18535190266992,.582393672017858,-2.18535190266992,.582393672017858,-1.58239367201786,.417606327982142,1.58239367201786,-.417606327982142
2,10,2,0,3,5,5,5,5,5,5,3,2,3,2,2,4,1,2,2,4,2,2,2,3,4,2,2,3,3,2,2,3,3,2,3,2,3,3,3,2,2,-1,1,4.71428571428571,5.26315789473684,2.66666666666667,1.53729514586893,.561686341457221,-1.46884308212241,-1.53729514586893,1.53729514586893,1.46884308212241,-.561686341457221,-1.46884308212241,.561686341457221,-.438313658542779,1.56168634145722,.438313658542779,-1.56168634145722
2,4.5,3,0,1,1,2,3,3,3,4,3,2,2,2,2,3,3,4,2,4,1,4,1,2,2,3,2,5,5,5,4,4,5,4,5,2,5,2,4,2,2,-1,-1,2.42857142857143,5.15789473684211,4.16666666666667,-.360980910065752,.385674031691824,1.16217730692807,.360980910065752,.360980910065752,-1.16217730692807,-.385674031691824,-1.16217730692807,-.385674031691824,-.614325968308176,1.38567403169182,.614325968308176,-1.38567403169182
2,1,1,0,3,4,3,4,4,4,3,4,4,4,3,2,3,2,3,4,3,3,2,4,3,3,4,3,4,3,4,2,4,4,2,2,3,4,3,3,3,3,2,0,3.57142857142857,4.31578947368421,3.16666666666667,-1.56897476384237,-1.02242444643135,-.591836285772249,-3.13794952768473,0,-1.1836725715445,-2.0448488928627,0,0,-2.02242444643135,-.0224244464313488,-4.0448488928627,-.0448488928626976
2,10,3,0,2,5,5,1,5,1,1,4,2,3,2,4,2,1,2,1,3,3,2,3,1,3,2,5,2,3,2,2,3,2,2,1,1,2,4,2,4,2,-1,-1,2.85714285714286,4.78947368421053,2.16666666666667,1.53729514586893,-.230369052487064,-2.34584987847256,-1.53729514586893,-1.53729514586893,2.34584987847256,.230369052487064,2.34584987847256,.230369052487064,-1.23036905248706,.769630947512936,1.23036905248706,-.769630947512936
2,7,2,0,4,4,1,3,1,1,1,3,3,3,3,1,2,4,3,1,3,2,4,2,2,4,4,3,3,4,3,4,3,4,2,3,4,3,4,4,3,3,-1,1,2.14285714285714,4.78947368421053,3.41666666666667,.501871842631831,-.230369052487064,-.153332887597171,-.501871842631831,.501871842631831,.153332887597171,.230369052487064,-.153332887597171,-.230369052487064,-1.23036905248706,.769630947512936,1.23036905248706,-.769630947512936
2,2,1,0,1,1,2,3,3,1,3,4,2,2,2,1,4,1,2,2,5,1,3,2,2,4,2,3,2,4,4,4,3,3,3,5,1,2,3,3,2,2,2,0,2,5.57894736842105,3.08333333333333,-1.22383366276333,1.08972327075341,-.738004085163941,-2.44766732552667,0,-1.47600817032788,2.17944654150682,0,0,.0897232707534101,2.08972327075341,.17944654150682,4.17944654150682
2,7.5,2,1,4,4,3,4,1,1,1,4,4,4,3,4,3,2,2,3,1,5,2,2,2,3,2,2,5,5,4,4,5,4,4,4,3,4,1,3,4,3,-1,1,2.57142857142857,4.36842105263158,3.83333333333333,.674442393171348,-.934418291548651,.577506109361294,-.674442393171348,.674442393171348,-.577506109361294,.934418291548651,.577506109361294,-.934418291548651,-1.93441829154865,.065581708451349,1.93441829154865,-.065581708451349
2,4,1,0,1,2,3,3,4,4,4,4,1,1,1,2,4,1,2,1,4,1,5,2,1,4,2,5,3,4,2,1,2,3,2,2,2,4,4,2,2,1,2,0,3,5.78947368421053,2.58333333333333,-.533551460605268,1.4417478902842,-1.6150108815141,-1.06710292121054,0,-3.2300217630282,2.88349578056841,0,0,.441747890284204,2.4417478902842,.883495780568409,4.88349578056841
2,5,2,0,1,1,2,3,3,3,4,3,5,3,2,2,3,4,3,2,3,3,3,3,3,3,3,1,4,4,4,2,4,2,3,4,4,4,4,4,3,4,-1,1,2.42857142857143,4.52631578947368,3.58333333333333,-.188410359526235,-.670399826900556,.139002711186216,.188410359526235,-.188410359526235,-.139002711186216,.670399826900556,.139002711186216,-.670399826900556,-1.67039982690056,.329600173099444,1.67039982690056,-.329600173099444
2,4,3,0,1,1,1,3,3,1,2,5,1,3,1,1,3,1,1,1,5,1,3,5,3,3,1,3,3,3,5,5,5,5,3,3,1,4,5,5,3,5,-1,-1,1.71428571428571,5.31578947368421,3.91666666666667,-.533551460605268,.649692496339919,.723673908752987,.533551460605268,.533551460605268,-.723673908752987,-.649692496339919,-.723673908752987,-.649692496339919,-.350307503660081,1.64969249633992,.350307503660081,-1.64969249633992
2,6,3,0,2,2,3,3,3,4,4,4,1,3,1,2,2,2,2,4,4,1,5,2,2,3,4,4,4,4,5,5,5,4,4,2,3,4,4,4,1,1,-1,-1,3,5.26315789473684,4,.156730741552798,.561686341457221,.86984170814468,-.156730741552798,-.156730741552798,-.86984170814468,-.561686341457221,-.86984170814468,-.561686341457221,-.438313658542779,1.56168634145722,.438313658542779,-1.56168634145722
2,8,1,0,2,3,4,4,2,2,5,4,2,3,3,2,2,3,3,3,4,3,3,2,3,3,4,4,4,4,4,4,4,4,4,5,3,4,4,4,3,3,2,0,3.14285714285714,4.57894736842105,4,.847012943710864,-.582393672017858,.86984170814468,1.69402588742173,0,1.73968341628936,-1.16478734403572,0,0,-1.58239367201786,.417606327982142,-3.16478734403572,.835212655964284
2,10,2,0,4,4,5,5,5,5,5,3,3,2,3,4,2,2,2,2,4,1,3,3,4,2,2,4,3,4,4,4,3,3,4,3,2,3,2,2,2,2,-1,1,4.71428571428571,4.73684210526316,3.08333333333333,1.53729514586893,-.318375207369763,-.738004085163941,-1.53729514586893,1.53729514586893,.738004085163941,.318375207369763,-.738004085163941,-.318375207369763,-1.31837520736976,.681624792630237,1.31837520736976,-.681624792630237
2,6.5,1,0,5,5,5,5,1,1,5,2,2,1,2,2,2,3,2,2,4,4,3,2,2,2,2,4,4,4,3,4,2,4,3,3,5,2,4,3,3,2,2,0,3.85714285714286,4.84210526315789,3.41666666666667,.329301292092315,-.142362897604366,-.153332887597171,.658602584184629,0,-.306665775194341,-.284725795208732,0,0,-1.14236289760437,.857637102395634,-2.28472579520873,1.71527420479127
2,2,3,0,1,2,2,1,2,2,4,4,1,1,1,2,4,1,1,1,5,1,4,1,1,5,1,1,2,1,2,1,1,2,1,2,1,4,2,4,1,1,-1,-1,2,6.26315789473684,1.91666666666667,-1.22383366276333,2.23380328422849,-2.78435327664764,1.22383366276333,1.22383366276333,2.78435327664764,-2.23380328422849,2.78435327664764,-2.23380328422849,1.23380328422849,3.23380328422849,-1.23380328422849,-3.23380328422849
2,10,1,1,2,3,5,5,5,5,5,2,2,2,1,2,3,3,2,3,3,2,3,2,2,2,2,3,3,4,4,3,3,3,3,4,2,2,3,2,1,2,2,0,4.28571428571429,5.05263157894737,3,1.53729514586893,.209661721926427,-.884171884555635,3.07459029173786,0,-1.76834376911127,.419323443852854,0,0,-.790338278073573,1.20966172192643,-1.58067655614715,2.41932344385285
2,1,3,0,1,1,2,2,2,3,3,3,2,2,2,1,3,2,2,2,2,2,3,1,2,3,2,3,4,3,4,4,2,4,4,4,3,4,5,4,2,2,-1,-1,2,5.21052631578947,3.75,-1.56897476384237,.473680186574522,.431338309969601,1.56897476384237,1.56897476384237,-.431338309969601,-.473680186574522,-.431338309969601,-.473680186574522,-.526319813425478,1.47368018657452,.526319813425478,-1.47368018657452
2,5,3,0,2,2,2,2,2,2,2,2,3,3,3,2,3,4,4,3,3,3,3,1,4,3,4,4,4,4,3,4,3,4,4,4,4,3,2,2,3,4,-1,-1,2,4.26315789473684,3.41666666666667,-.188410359526235,-1.11043060131405,-.153332887597171,.188410359526235,.188410359526235,.153332887597171,1.11043060131405,.153332887597171,1.11043060131405,-2.11043060131405,-.110430601314047,2.11043060131405,.110430601314047
2,7,3,0,1,3,5,1,1,1,1,1,5,5,5,5,1,5,5,5,5,5,1,5,5,1,5,5,1,3,1,3,1,3,1,1,1,1,1,1,5,5,-1,-1,1.85714285714286,2.68421052631579,1.5,.501871842631831,-3.750615247795,-3.51519227360611,-.501871842631831,-.501871842631831,3.51519227360611,3.750615247795,3.51519227360611,3.750615247795,-4.750615247795,-2.750615247795,4.750615247795,2.750615247795
2,5.5,2,0,5,5,5,1,1,1,1,3,4,5,5,3,5,3,3,4,3,5,2,3,4,3,3,3,3,3,2,3,3,3,5,2,4,5,4,5,3,3,-1,1,2.71428571428571,4.05263157894737,3.5,-.0158398089867185,-1.46245522084484,-.00716508820547745,.0158398089867185,-.0158398089867185,.00716508820547745,1.46245522084484,-.00716508820547745,-1.46245522084484,-2.46245522084484,-.462455220844841,2.46245522084484,.462455220844841
2,8,2,0,1,3,1,3,1,2,4,3,3,4,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-1,1,2.14285714285714,4.52631578947368,3,.847012943710864,-.670399826900556,-.884171884555635,-.847012943710864,.847012943710864,.884171884555635,.670399826900556,-.884171884555635,-.670399826900556,-1.67039982690056,.329600173099444,1.67039982690056,-.329600173099444
2,6.5,2,0,3,2,4,1,5,5,1,3,1,1,1,2,3,2,3,1,3,1,3,3,2,1,1,4,5,4,5,5,4,4,3,5,4,1,3,1,2,3,-1,1,3,5.15789473684211,3.66666666666667,.329301292092315,.385674031691824,.285170510577908,-.329301292092315,.329301292092315,-.285170510577908,-.385674031691824,.285170510577908,.385674031691824,-.614325968308176,1.38567403169182,.614325968308176,-1.38567403169182
2,3,3,0,2,2,2,3,3,2,1,3,4,4,2,4,2,3,4,3,2,3,4,4,3,3,4,4,3,4,4,4,4,4,2,5,3,4,2,4,2,4,-1,-1,2.14285714285714,4.10526315789474,3.58333333333333,-.878692561684301,-1.37444906596214,.139002711186216,.878692561684301,.878692561684301,-.139002711186216,1.37444906596214,-.139002711186216,1.37444906596214,-2.37444906596214,-.374449065962142,2.37444906596214,.374449065962142
2,7,1,0,3,5,4,4,5,5,5,4,2,3,2,2,4,2,5,1,5,2,4,1,3,4,2,2,5,5,5,5,5,4,5,4,3,4,4,4,2,2,2,0,4.42857142857143,5.36842105263158,4.41666666666667,.501871842631831,.737698651222617,1.60068070510314,1.00374368526366,0,3.20136141020629,1.47539730244523,0,0,-.262301348777383,1.73769865122262,-.524602697554766,3.47539730244523
2,2,1,0,1,1,1,3,3,3,2,2,3,3,2,2,3,2,2,3,4,2,3,2,4,4,4,3,4,3,3,3,4,3,4,4,3,3,5,4,4,3,2,0,2,4.68421052631579,3.58333333333333,-1.22383366276333,-.406381362252461,.139002711186216,-2.44766732552667,0,.278005422372431,-.812762724504922,0,0,-1.40638136225246,.593618637747539,-2.81276272450492,1.18723727549508
2,1,1,0,1,1,1,1,3,5,4,2,3,2,1,1,3,3,4,1,5,2,4,2,3,4,4,4,3,3,3,3,2,2,2,3,3,3,2,3,3,3,2,0,2.28571428571429,4.94736842105263,2.66666666666667,-1.56897476384237,.0336494121610314,-1.46884308212241,-3.13794952768473,0,-2.93768616424481,.0672988243220627,0,0,-.966350587838969,1.03364941216103,-1.93270117567794,2.06729882432206
2,3,2,0,3,1,1,1,4,5,1,2,3,4,4,4,2,3,4,3,4,2,3,2,3,2,4,4,4,4,4,4,4,4,4,2,2,5,3,5,2,4,-1,1,2.28571428571429,4.15789473684211,3.75,-.878692561684301,-1.28644291107944,.431338309969601,.878692561684301,-.878692561684301,-.431338309969601,1.28644291107944,.431338309969601,-1.28644291107944,-2.28644291107944,-.286442911079444,2.28644291107944,.286442911079444
2,10,3,0,3,4,5,5,5,5,5,4,2,4,4,3,2,4,2,2,2,2,4,4,4,4,2,2,4,4,5,4,5,4,4,4,4,3,4,4,3,4,-1,-1,4.57142857142857,4.52631578947368,4.08333333333333,1.53729514586893,-.670399826900556,1.01600950753637,-1.53729514586893,-1.53729514586893,-1.01600950753637,.670399826900556,-1.01600950753637,.670399826900556,-1.67039982690056,.329600173099444,1.67039982690056,-.329600173099444
2,7,2,0,4,2,2,5,5,5,2,3,2,4,2,4,2,2,4,2,5,2,2,2,3,4,1,3,4,4,5,4,4,5,4,4,2,5,4,5,2,3,-1,1,3.57142857142857,4.84210526315789,4.16666666666667,.501871842631831,-.142362897604366,1.16217730692807,-.501871842631831,.501871842631831,-1.16217730692807,.142362897604366,1.16217730692807,-.142362897604366,-1.14236289760437,.857637102395634,1.14236289760437,-.857637102395634
2,1.5,3,0,2,1,2,3,3,2,3,1,4,5,3,4,1,4,1,5,5,5,1,2,2,3,5,5,3,1,4,2,1,5,2,5,3,1,1,2,3,1,-1,-1,2.28571428571429,3.89473684210526,2.5,-1.39640421330285,-1.72647368549294,-1.76117868090579,1.39640421330285,1.39640421330285,1.76117868090579,1.72647368549294,1.76117868090579,1.72647368549294,-2.72647368549294,-.726473685492935,2.72647368549294,.726473685492935
2,7,3,0,1,2,4,3,3,3,2,2,1,3,3,1,1,3,1,1,3,1,3,1,5,3,2,5,5,5,5,5,5,5,5,5,4,5,5,5,3,2,-1,-1,2.57142857142857,4.84210526315789,4.91666666666667,.501871842631831,-.142362897604366,2.4776875014533,-.501871842631831,-.501871842631831,-2.4776875014533,.142362897604366,-2.4776875014533,.142362897604366,-1.14236289760437,.857637102395634,1.14236289760437,-.857637102395634
2,8.5,3,0,3,3,5,5,5,5,5,4,2,4,2,2,3,2,3,1,3,2,4,2,4,4,2,1,3,4,4,4,4,4,3,4,2,3,3,3,2,2,-1,-1,4.42857142857143,5.21052631578947,3.41666666666667,1.01958349425038,.473680186574522,-.153332887597171,-1.01958349425038,-1.01958349425038,.153332887597171,-.473680186574522,.153332887597171,-.473680186574522,-.526319813425478,1.47368018657452,.526319813425478,-1.47368018657452
2,10,1,0,5,5,1,1,1,1,1,4,1,2,1,1,3,2,1,1,4,1,2,2,2,2,1,1,3,3,4,4,3,4,4,2,3,4,4,5,1,1,2,0,2.14285714285714,5.73684210526316,3.58333333333333,1.53729514586893,1.35374173540151,.139002711186216,3.07459029173786,0,.278005422372431,2.70748347080301,0,0,.353741735401505,2.35374173540151,.70748347080301,4.70748347080301
2,10,2,1,5,5,5,5,5,5,5,2,2,4,1,2,2,1,1,5,2,2,4,3,4,1,1,4,5,5,5,5,5,5,4,5,3,5,5,5,2,2,-1,1,5,4.68421052631579,4.75,1.53729514586893,-.406381362252461,2.18535190266992,-1.53729514586893,1.53729514586893,-2.18535190266992,.406381362252461,2.18535190266992,-.406381362252461,-1.40638136225246,.593618637747539,1.40638136225246,-.593618637747539
2,4.5,1,0,2,1,1,3,3,3,2,3,2,3,3,2,3,4,4,2,3,2,4,3,4,3,3,3,4,4,4,4,4,3,4,5,4,3,3,5,3,2,2,0,2.14285714285714,4.63157894736842,3.91666666666667,-.360980910065752,-.494387517135159,.723673908752987,-.721961820131503,0,1.44734781750597,-.988775034270317,0,0,-1.49438751713516,.505612482864841,-2.98877503427032,1.01122496572968
2,5,3,0,2,2,2,2,2,3,3,4,2,4,2,3,2,4,2,4,4,2,3,4,2,4,2,2,4,4,4,4,4,3,4,4,4,4,4,4,3,4,-1,-1,2.28571428571429,4.68421052631579,3.91666666666667,-.188410359526235,-.406381362252461,.723673908752987,.188410359526235,.188410359526235,-.723673908752987,.406381362252461,-.723673908752987,.406381362252461,-1.40638136225246,.593618637747539,1.40638136225246,-.593618637747539
2,10,2,0,3,3,4,4,4,3,2,3,3,4,2,3,3,3,2,4,3,3,5,4,4,4,3,3,3,5,2,4,2,4,3,3,4,4,3,2,2,2,-1,1,3.28571428571429,4.63157894736842,3.25,1.53729514586893,-.494387517135159,-.445668486380556,-1.53729514586893,1.53729514586893,.445668486380556,.494387517135159,-.445668486380556,-.494387517135159,-1.49438751713516,.505612482864841,1.49438751713516,-.505612482864841
2,10,2,0,2,3,4,4,4,5,5,3,2,2,1,3,2,4,2,2,2,1,4,4,3,4,2,2,5,5,5,5,5,4,5,4,4,4,3,4,3,2,-1,1,3.85714285714286,4.94736842105263,4.41666666666667,1.53729514586893,.0336494121610314,1.60068070510314,-1.53729514586893,1.53729514586893,-1.60068070510314,-.0336494121610314,1.60068070510314,.0336494121610314,-.966350587838969,1.03364941216103,.966350587838969,-1.03364941216103
