cond_all,cond_text,pair_ID,cooperation_rate,role,WK1,WK2,WK3,WK4,WK5,WK6,WK7,WK8,WK9,WK10,WK11,WK12,WK13,WK14,WK15,WK16,WK17,WK18,WK19,WK20,likabe,get_along,close,friends,tasty,age,gender,gender,mean_close
1,shared,38,0.55,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,5,4,2,2,1,20,2,female,3.25
1,shared,39,0.65,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,4,3,2,3,3,19,2,female,3
1,shared,40,0.9,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,5,5,5,19,1,male,5.5
1,shared,41,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,3,3,3,22,1,male,3.75
1,shared,42,0.3,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,4,4,3,4,5,20,2,female,3.75
1,shared,43,0.3,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,5,4,1,3,5,19,2,female,3.25
1,shared,44,0.95,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4,5,3,4,5,18,1,male,4
1,shared,45,0.95,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,3,4,25,2,female,4
1,shared,46,0.3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, , , , , , , , , 
1,shared,47,0.5,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,4,4,3,4,4,19,1,male,3.75
1,shared,48,0.1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,5,2,20,2,female,5.5
1,shared,49,0.55,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,4,5,3,4,4,19,2,female,4
1,shared,50,0.3,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,3,4,5,20,2,female,3.75
1,shared,51,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,5,21,2,female,6
1,shared,52,0.9,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,6,5,5,5,18,2,female,5.5
0,separate,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,2,19,2,female,2.25
0,separate,2,0.25,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,4,4,2,4,1,19,1,male,3.5
0,separate,3,0.75,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,3,4,3,2,3,19,2,female,3
0,separate,4,0.75,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,6,5,3,4,6,19,2,female,4.5
0,separate,5,0.5,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,5,5,5,0,18,1,male,4.75
0,separate,6,0.65,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,4,4,4,5,4,21,2,female,4.25
0,separate,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,3,3,6,19,2,female,4.5
0,separate,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,5,6,23,2,female,5
